id,equ_id,location,subdistric,distric,provine,lat,lng
1,CA01,ตรงข้ามที่ทำการกองทุนหมู่บ้าน บ้านใหม่หินเรียง,วังตะเคียน,หนองมะโมง,ชัยนาท,15.30569,99.81876
2,CA02,โรงเรียนวัดโพธิ์ประสิทธิ์,หาดอาษา,สรรพยา,ชัยนาท,15.13909,100.25203
3,CB01,บ้านละว้าวังควาย(บริเวณวัด),วังยาว,ด่านช้าง,สุพรรณบุรี,14.85798,99.39802
4,CB02,บ้านเลขที่ 32/1 บ้านกกตาล ม.9,ห้วยขมิ้น,ด่านช้าง,สุพรรณบุรี,14.96203,99.55334
5,CC01,ที่ว่าการอำเภอเมืองลพบุรี,ทะเลชุบศร,เมือง,ลพบุรี,14.79838,100.65306
6,CC02,ที่ว่าการอำเภอชัยบาดาล,ลำนารายณ์,ชัยบาดาล,ลพบุรี,15.20594,101.13691
7,CD01,เทศบาลตำบลทองผาภูมิ,ทองผาภูมิ,ทองผาภูมิ,กาญจนบุรี,14.74375,98.63319
8,CD02,เทศบาลตำบลเอราวัณ,เอราวัณ,ศรีสวัสดิ์,กาญจนบุรี,14.38365,99.13776
9,CD03,เทศบาลเมืองกาญจนบุรี,บ้านเหนือ,เมือง,กาญจนบุรี,14.02126,99.52745
10,CD06,บริเวณใกล้ถังประปา คพต. ม.4,วังดัง,เมือง,กาญจนบุรี,14.13534,99.33951
11,CD07,เทศบาลตำบลลาดหญ้า,ลาดหญ้า,เมือง,กาญจนบุรี,14.1026,99.42197
12,CD08,เขื่อนท่าทุ่งนา,ช่องสะเดา,เมือง,กาญจนบุรี,14.22953,99.23935
13,CD09,ที่ทำการอำเภอไทรโยค,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,14.11447,99.1447
14,CE01,บ้านสระนำ ม.2,บ้านไร่,บ้านไร่,อุทัยธานี,15.06238,99.505139
15,CE02,บ้านไซเบอร์ ม.1,ทองหลาง,ห้วยคต,อุทัยธานี,15.31163,99.45358
16,CF01,สำนักฆ์สุทธิธรรมรังษี (ผาปก),สวนผึ้ง,สวนผึ้ง,ราชบุรี,13.57121,99.22865
17,CF02,อบต.บ้านคา,บ้านคา,บ้านคา,ราชบุรี,13.4308,99.40961
18,CF03,ที่ทำการผู้ใหญ่บ้าน ม.4 บ้านไทยประจัน (ผญบ.สุพล),ยางหัก,ปากท่อ,ราชบุรี,13.27773,99.5594
19,CG01,เขาน้อย,สาริกา,เมือง,นครนายก,14.3228,101.29383
20,CG02,ที่ทำการ อบต.ป่าขะ,ป่าขะ,บ้านนา,นครนายก,14.30136,101.07044
21,CG03,บ้านกำนัน,นาหินลาด,ปากพลี,นครนายก,14.2308,101.36517
22,CJ03,ประปาหมู่บ้าน ม.2,น้ำเต้า,บางบาล,พระนครศรีอยุธยา,14.3263,100.44847
23,CJ04,ทต.บางปะหัน,บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,14.46197,100.54561
24,CP02,องค์การบริหารส่วนตาบลบุพราหมณ์,บุพราหมณ์,นาดี,ปราจีนบุรี,14.28135,101.89706
25,EA01,วัดถ้ำยายปริก บ้านศาลเจ้าเก๋ง,ทําเทววงษ์,เกาะสีชัง,ชลบุรี,13.15635,100.8088
26,EA02,บริเวณหาดตาแหวน,นาเกลือ,บางละมุง,ชลบุรี,12.92777,100.78128
27,EA03,หาดจอมเทียน พัทยาใต้,หนองปรือ,บางละมุง,ชลบุรี,12.89143,100.87372
28,EA04,สำนักงานเทศบาลเมืองแสนสุข,แหลมแท่น,เมือง,ชลบุรี,13.2882,100.91309
29,EA05,สำนักงานเทศบาลตำบลบางทราย,บางทราย,เมือง,ชลบุรี,13.38435,100.98505
30,EB01,บ้านเขาสำเภาทอง ต.เพ อ.เมือง,เพ,เมือง,ระยอง,12.64557,101.41148
31,EB02,บ้านกรอกยายชา ต.เนินพระ อ.เมือง,เนินพระ,เมือง,ระยอง,12.68298,101.21121
32,EB03,ชุมชนตากวน-อ่าวประดู่ เขตเทศบาลเมืองมาบตาพุต,ห้วยโป่ง,เมือง,ระยอง,12.67402,101.17201
33,EB07,เทศบาลนครระยอง,ท่าประดู่,เมือง,ระยอง,12.66084,101.26081
